Block         TrialNumb     Type          JudgeRT       JudgeRESP     ObjectStim    ImageOnset    ISIonset
1             1             First         0             NoResponse    APINGPON3.jpg  4.699         3.19 
1             2             SameContext   1708          k             AASCDESC.jpg   10.22         8.711 
1             3             SameContext   674           k             ACRICKET2.jpg  15.741        14.232 
1             4             SameContext   657           k             Aleaf75.jpg    21.262        19.753 
1             5             SameContext   928           j             Afloppydisk6.jpg             26.783        25.274 
1             6             SameContext   0             NoResponse    AAFRIMAS5.jpg  32.304        30.795 
1             7             SameContext   0             NoResponse    ACHALCED2.jpg  37.825        36.316 
1             8             SameContext   621           k             ACHAIR.jpg     43.346        41.837 
1             9             Boundary      1820          f             Agraduationh2.jpg            48.867        47.358 
1             10            SameContext   1003          f             Arake3.jpg     54.388        52.879 
1             11            SameContext   1314          d             ABOOK23.jpg    59.909        58.4 
1             12            SameContext   1250          d             Alock34.jpg    65.43         63.922 
1             13            SameContext   1032          f             AAMMO4.jpg     70.951        69.443 
1             14            SameContext   679           f             ABULDOZER.jpg  76.472        74.964 
1             15            SameContext   1110          f             Agardeningshe.jpg            81.993        80.485 
1             16            SameContext   652           f             Acomputer9.jpg               87.515        86.006 
1             17            Boundary      1691          j             ACOWBOYH3.jpg  93.036        91.527 
1             18            SameContext   1019          j             ABILLTABL.jpg  98.557        97.048 
1             19            SameContext   1370          j             AARMCHA25.jpg  104.078       102.569 
1             20            SameContext   776           j             ACOFFTA18.jpg  109.599       108.09 
1             21            SameContext   1951          j             ALITTERB2.jpg  115.12        113.611 
1             22            SameContext   1102          j             AELECRAZ7.jpg  120.641       119.132 
1             23            SameContext   1325          k             ACHERRY.jpg    126.162       124.653 
1             24            SameContext   1532          k             Aashtray67.jpg               131.683       130.174 
1             25            Boundary      0             NoResponse    Aavocado7.jpg  137.204       135.695 
1             26            SameContext   1522          f             APOGO4.jpg     142.725       141.216 
1             27            SameContext   769           d             APERSRUG.jpg   148.246       146.737 
1             28            SameContext   880           f             Acementfinish.jpg            153.767       152.259 
1             29            SameContext   1887          f             Agluegun.jpg   159.288       157.78 
1             30            SameContext   1566          f             ACROQUET2.jpg  164.809       163.301 
1             31            SameContext   901           f             AGOAT10.jpg    170.33        168.822 
1             32            Last          948           f             APICNICBL.jpg  175.851       174.343 
2             1             First         976           k             Aairtank7.jpg  4.639         3.13 
2             2             SameContext   1703          k             Abutterflynet.jpg            10.16         8.651 
2             3             SameContext   2014          j             Aclothespin2.jpg             15.681        14.173 
2             4             SameContext   989           j             ABALLYAR4.jpg  21.202        19.694 
2             5             SameContext   1420          j             Acactus58.jpg  26.723        25.215 
2             6             SameContext   947           j             ALOVSEA10.jpg  32.244        30.736 
2             7             SameContext   874           k             Aancientbuild.jpg            37.765        36.257 
2             8             SameContext   1096          j             AANTSTOV6.jpg  43.287        41.778 
2             9             Boundary      1527          d             Abasket108.jpg               48.808        47.299 
2             10            SameContext   1590          d             Adoorknocker2.jpg            54.329        52.82 
2             11            SameContext   1157          d             ABPIECE2.jpg   59.85         58.341 
2             12            SameContext   2228          f             AGLASSBAL.jpg  65.371        63.862 
2             13            SameContext   1099          d             ABREASPU2.jpg  70.892        69.383 
2             14            SameContext   1578          f             AGOLFIRON.jpg  76.413        74.904 
2             15            SameContext   2129          f             Ablouse2.jpg   81.934        80.425 
2             16            SameContext   936           f             AFIGHTP16.jpg  87.455        85.946 
2             17            Boundary      1463          k             AARTMELON.jpg  92.976        91.467 
2             18            SameContext   1582          k             Apairofrubbe3.jpg            98.497        96.988 
2             19            SameContext   1053          j             ACHEESEB3.jpg  104.018       102.509 
2             20            SameContext   868           j             ACAESALAD.jpg  109.539       108.031 
2             21            SameContext   1739          j             ABALLBEAR.jpg  115.06        113.552 
2             22            SameContext   1427          j             Acomputerbag.jpg             120.581       119.073 
2             23            SameContext   1305          k             Achest20.jpg   126.102       124.594 
2             24            SameContext   1159          k             AANBABYCA.jpg  131.624       130.115 
2             25            Boundary      1638          f             ALOOFA.jpg     137.145       135.636 
2             26            SameContext   1181          d             AMUSICSTA.jpg  142.666       141.157 
2             27            SameContext   1100          f             AHAZELNU3.jpg  148.187       146.678 
2             28            SameContext   1323          f             Aclimbersicep.jpg            153.708       152.199 
2             29            SameContext   2226          d             AHONEYJA2.jpg  159.229       157.72 
2             30            SameContext   1113          d             ALOAFBR4.jpg   164.75        163.241 
2             31            SameContext   1704          d             AFILM.jpg      170.271       168.762 
2             32            Last          1423          d             AANTCASH3.jpg  175.792       174.283 
3             1             First         694           k             AARMYTRUK.jpg  4.626         3.117 
3             2             SameContext   1125          j             ACDRAINER.jpg  10.147        8.638 
3             3             SameContext   1364          k             AHEADLI18.jpg  15.668        14.159 
3             4             SameContext   1035          j             ADECKCARD.jpg  21.189        19.68 
3             5             SameContext   1099          j             Aclock261.jpg  26.71         25.201 
3             6             SameContext   1329          j             AAFRICI13.jpg  32.231        30.722 
3             7             SameContext   864           j             ABANJO5.jpg    37.752        36.243 
3             8             SameContext   999           j             AORIGIRL3.jpg  43.273        41.764 
3             9             Boundary      1566          d             ADESKLA12.jpg  48.794        47.285 
3             10            SameContext   797           f             ACONBENCH.jpg  54.315        52.806 
3             11            SameContext   1668          f             ABELL7.jpg     59.836        58.327 
3             12            SameContext   1075          f             APARSLEY.jpg   65.357        63.848 
3             13            SameContext   1594          d             ACAFLATT3.jpg  70.878        69.369 
3             14            SameContext   977           d             ACHINLAMP.jpg  76.399        74.891 
3             15            SameContext   1240          d             airhocckytable.jpg           81.92         80.412 
3             16            SameContext   1223          d             Ahighlightin2.jpg            87.441        85.933 
3             17            Boundary      1982          j             Achampagnebo2.jpg            92.962        91.454 
3             18            SameContext   1284          j             ADRUMSET3.jpg  98.484        96.975 
3             19            SameContext   779           k             Apeanut3.jpg   104.005       102.496 
3             20            SameContext   1890          j             Afaucet9.jpg   109.526       108.017 
3             21            SameContext   625           j             ABOX8.jpg      115.047       113.538 
3             22            SameContext   1576          k             Agarbagebag.jpg              120.568       119.059 
3             23            SameContext   799           j             ACUSHIO60.jpg  126.089       124.58 
3             24            SameContext   2046          j             APHONEFA2.jpg  131.61        130.101 
3             25            Boundary      1173          d             Abreadrolls.jpg              137.131       135.622 
3             26            SameContext   1564          d             ACOMPAS20.jpg  142.652       141.143 
3             27            SameContext   955           d             Abrassbu2.jpg  148.173       146.664 
3             28            SameContext   2034          d             AANTHAT2.jpg   153.694       152.185 
3             29            SameContext   841           f             AARCH.jpg      159.215       157.706 
3             30            SameContext   1520          f             AANTICAN2.jpg  164.736       163.228 
3             31            SameContext   1207          f             ARAILLIGH.jpg  170.257       168.749 
3             32            Last          1598          d             Adice10.jpg    175.778       174.27 
4             1             First         1196          k             AHIBACHI.jpg   4.636         3.127 
4             2             SameContext   1659          j             Alaundrybask2.jpg            10.157        8.648 
4             3             SameContext   1418          j             AICEUBETR.jpg  15.678        14.169 
4             4             SameContext   1369          j             AOVENMIT5.jpg  21.199        19.69 
4             5             SameContext   912           k             Aaircompress6.jpg            26.72         25.212 
4             6             SameContext   1831          k             Aasianbuildin.jpg            32.241        30.733 
4             7             SameContext   1086          k             AGARBCAN.jpg   37.762        36.254 
4             8             SameContext   1525          j             Alipstick3.jpg               43.283        41.775 
4             9             Boundary      1043          f             ACANE2.jpg     48.805        47.296 
4             10            SameContext   826           f             Abeesonahoney.jpg            54.326        52.817 
4             11            SameContext   1457          d             ACUTLERYB.jpg  59.847        58.338 
4             12            SameContext   0             NoResponse    AAEROBENC.jpg  65.368        63.859 
4             13            SameContext   695           f             AALTIRE2.jpg   70.889        69.38 
4             14            SameContext   1078          f             Aornamentalt5.jpg            76.41         74.901 
4             15            SameContext   1565          f             ACAROUSE2.jpg  81.931        80.422 
4             16            SameContext   1132          f             AHEADSET.jpg   87.452        85.943 
4             17            Boundary      1627          k             ABLACKB14.jpg  92.973        91.464 
4             18            SameContext   1202          j             ADOGFOOD.jpg   98.494        96.985 
4             19            SameContext   1769          j             AMEATGR14.jpg  104.015       102.506 
4             20            SameContext   752           k             ADUNEBUGG.jpg  109.536       108.027 
4             21            SameContext   1679          k             anvil.jpg      115.057       113.549 
4             22            SameContext   0             NoResponse    APUTTER.jpg    120.578       119.07 
4             23            SameContext   805           j             Ababybottle15.jpg            126.099       124.591 
4             24            SameContext   1660          k             A100FRAN3.jpg  131.62        130.112 
4             25            Boundary      739           f             ant.jpg        137.141       135.633 
4             26            SameContext   1281          f             Ababseat2.jpg  142.663       141.154 
4             27            SameContext   1024          d             Aantiquerota7.jpg            148.184       146.675 
4             28            SameContext   1543          d             AFUNNEL4.jpg   153.705       152.196 
4             29            SameContext   806           f             Abananasundae.jpg            159.226       157.717 
4             30            SameContext   1549          f             ABAGEL.jpg     164.747       163.238 
4             31            SameContext   764           f             ACOCONUT2.jpg  170.268       168.759 
4             32            Last          1963          f             APARKMET6.jpg  175.789       174.28 
5             1             First         1035          f             Agiftbag20.jpg               4.637         3.129 
5             2             SameContext   2026          d             Afirstaidkit3.jpg            10.158        8.65 
5             3             SameContext   1000          f             Aancientstat3.jpg            15.68         14.171 
5             4             SameContext   791           f             Abridge9.jpg   21.201        19.692 
5             5             SameContext   1614          f             AOUTHOUSE.jpg  26.722        25.213 
5             6             SameContext   1277          d             ALADLE5.jpg    32.243        30.734 
5             7             SameContext   1868          f             AMASCARA.jpg   37.764        36.255 
5             8             SameContext   619           f             ADAQUIRI.jpg   43.285        41.776 
5             9             Boundary      1482          k             Abagofherbs.jpg              48.806        47.297 
5             10            SameContext   1937          k             Abandage3.jpg  54.327        52.818 
5             11            SameContext   1424          k             AGLASSBA4.jpg  59.848        58.339 
5             12            SameContext   0             NoResponse    APANCAKE3.jpg  65.369        63.86 
5             13            SameContext   1622          k             Afan49.jpg     70.89         69.381 
5             14            SameContext   1757          k             ACOWBELL6.jpg  76.411        74.902 
5             15            SameContext   2036          j             Adiamondring3.jpg            81.932        80.423 
5             16            SameContext   1243          j             ABIRDCAG2.jpg  87.453        85.945 
5             17            Boundary      1402          f             Ahousboa2.jpg  92.974        91.466 
5             18            SameContext   969           f             AHEDGEHOG.jpg  98.495        96.987 
5             19            SameContext   1376          f             ADART3.jpg     104.016       102.508 
5             20            SameContext   638           f             Acentipede4.jpg              109.538       108.029 
