"Block","TrialNumb","Type","JudgeRT","JudgeRESP","ObjectStim","ImageOnset","ISIonset","Subject"
"1","1","First","0","NoResponse","AARTMELON.jpg","4.693","3.185","302"
"1","2","SameContext","1282","k","AARCCHAR2.jpg","10.214","8.706","302"
"1","3","SameContext","825","j","Aruler12.jpg","15.735","14.227","302"
"1","4","SameContext","672","k","Aleopard19.jpg","21.256","19.748","302"
"1","5","SameContext","1462","j","Aashtray67.jpg","26.778","25.269","302"
"1","6","SameContext","565","k","Awheatstalks2.jpg","32.299","30.79","302"
"1","7","SameContext","732","k","AHEDGEHOG.jpg","37.82","36.311","302"
"1","8","SameContext","1267","k","blueberriespack.jpg","43.341","41.832","302"
"1","9","Boundary","1154","d","AANTHAT2.jpg","48.862","47.353","302"
"1","10","SameContext","985","d","ABAGEL.jpg","54.383","52.874","302"
"1","11","SameContext","840","d","AFRAME15.jpg","59.904","58.395","302"
"1","12","SameContext","815","d","Abinder6.jpg","65.425","63.916","302"
"1","13","SameContext","1062","d","AWEIGHT11.jpg","70.946","69.437","302"
"1","14","SameContext","1133","d","Abrassbu2.jpg","76.467","74.958","302"
"1","15","SameContext","788","d","ASUSHI9.jpg","81.988","80.479","302"
"1","16","SameContext","1075","d","battery.jpg","87.509","86","302"
"1","17","Boundary","810","j","ASMOKDE16.jpg","93.03","91.522","302"
"1","18","SameContext","689","j","ADAQUIRI.jpg","98.551","97.043","302"
"1","19","SameContext","904","j","AMICROWA2.jpg","104.072","102.564","302"
"1","20","SameContext","766","k","ATRIUMPH3.jpg","109.594","108.085","302"
"1","21","SameContext","1797","k","Acactus58.jpg","115.115","113.606","302"
"1","22","SameContext","860","j","baseballbat04.jpg","120.636","119.127","302"
"1","23","SameContext","715","j","ABLOODCEA.jpg","126.157","124.648","302"
"1","24","SameContext","586","k","Aammonitefo14.jpg","131.678","130.169","302"
"1","25","Boundary","737","d","AVIOLINCO.jpg","137.199","135.69","302"
"1","26","SameContext","840","d","Aflask19.jpg","142.72","141.211","302"
"1","27","SameContext","855","f","AARTICHO1.jpg","148.241","146.732","302"
"1","28","SameContext","678","f","AHIBACHI.jpg","153.762","152.253","302"
"1","29","SameContext","1557","d","broom.jpg","159.283","157.774","302"
"1","30","SameContext","1156","d","Aglassbottle6.jpg","164.804","163.295","302"
