Block         ItemNumber    Condition     ConditionSpecific           SourceRESP    SourceCorrRESP              SourceRT      Sound         SoundSide     Object        SourceAcc
1             27            SameContext   WithinFourth  j             f             6571          600Hz.wav     LEFT          APERSRUG.jpg  0
1             17            Boundary      BoundarySecond              j             j             2265          700Hz.wav     RIGHT         ACOWBOYH3.jpg 1
1             25            Boundary      BoundaryThird f             f             878           600Hz.wav     LEFT          Aavocado7.jpg 1
1             22            SameContext   WithinThird   f             j             2188          700Hz.wav     RIGHT         AELECRAZ7.jpg 0
1             31            SameContext   WithinFourth  f             f             4907          600Hz.wav     LEFT          AGOAT10.jpg   1
1             14            SameContext   WithinSecond  j             f             2115          900Hz.wav     LEFT          ABULDOZER.jpg 0
1             16            SameContext   WithinSecond  j             f             4494          900Hz.wav     LEFT          Acomputer9.jpg              0
1             8             SameContext   WithinFirst   f             j             7428          800Hz.wav     RIGHT         ACHAIR.jpg    0
1             19            SameContext   WithinThird   f             j             2404          700Hz.wav     RIGHT         AARMCHA25.jpg 0
1             26            SameContext   WithinFourth  j             f             1053          600Hz.wav     LEFT          APOGO4.jpg    0
1             1             First         FirstItem     j             j             1292          800Hz.wav     RIGHT         APINGPON3.jpg 1
1             29            SameContext   WithinFourth  j             f             4011          600Hz.wav     LEFT          Agluegun.jpg  0
1             20            SameContext   WithinThird   f             j             3963          700Hz.wav     RIGHT         ACOFFTA18.jpg 0
1             23            SameContext   WithinThird   j             j             1020          700Hz.wav     RIGHT         ACHERRY.jpg   1
1             32            Last          LastItem      j             f             1492          600Hz.wav     LEFT          APICNICBL.jpg 0
1             28            SameContext   WithinFourth  f             f             1596          600Hz.wav     LEFT          Acementfinish.jpg           1
1             13            SameContext   WithinSecond  j             f             1152          900Hz.wav     LEFT          AAMMO4.jpg    0
1             30            SameContext   WithinFourth  f             f             1452          600Hz.wav     LEFT          ACROQUET2.jpg 1
1             15            SameContext   WithinSecond  j             f             9709          900Hz.wav     LEFT          Agardeningshe.jpg           0
1             3             SameContext   WithinFirst   j             j             1309          800Hz.wav     RIGHT         ACRICKET2.jpg 1
1             21            SameContext   WithinThird   f             j             1795          700Hz.wav     RIGHT         ALITTERB2.jpg 0
1             7             SameContext   WithinFirst   j             j             3049          800Hz.wav     RIGHT         ACHALCED2.jpg 1
1             6             SameContext   WithinFirst   j             j             1970          800Hz.wav     RIGHT         AAFRIMAS5.jpg 1
1             18            SameContext   WithinThird   f             j             3641          700Hz.wav     RIGHT         ABILLTABL.jpg 0
1             2             SameContext   WithinFirst   j             j             1062          800Hz.wav     RIGHT         AASCDESC.jpg  1
1             5             SameContext   WithinFirst   j             j             7957          800Hz.wav     RIGHT         Afloppydisk6.jpg            1
1             12            SameContext   WithinSecond  j             f             2115          900Hz.wav     LEFT          Alock34.jpg   0
1             24            SameContext   WithinThird   f             j             1740          700Hz.wav     RIGHT         Aashtray67.jpg              0
1             4             SameContext   WithinFirst   j             j             1132          800Hz.wav     RIGHT         Aleaf75.jpg   1
1             11            SameContext   WithinSecond  f             f             1928          900Hz.wav     LEFT          ABOOK23.jpg   1
1             10            SameContext   WithinSecond  f             f             12049         900Hz.wav     LEFT          Arake3.jpg    1
1             9             Boundary      BoundaryFirst f             f             1728          900Hz.wav     LEFT          Agraduationh2.jpg           1
2             9             Boundary      BoundaryFirst j             f             3322          1000Hz.wav    LEFT          Abasket108.jpg              0
2             7             SameContext   WithinFirst   j             j             4650          900Hz.wav     RIGHT         Aancientbuild.jpg           1
2             29            SameContext   WithinFourth  f             f             972           800Hz.wav     LEFT          AHONEYJA2.jpg 1
2             16            SameContext   WithinSecond  j             f             1710          1000Hz.wav    LEFT          AFIGHTP16.jpg 0
2             20            SameContext   WithinThird   j             j             1158          700Hz.wav     RIGHT         ACAESALAD.jpg 1
2             8             SameContext   WithinFirst   f             j             1418          900Hz.wav     RIGHT         AANTSTOV6.jpg 0
2             1             First         FirstItem     j             j             4004          900Hz.wav     RIGHT         Aairtank7.jpg 1
2             27            SameContext   WithinFourth  f             f             1932          800Hz.wav     LEFT          AHAZELNU3.jpg 1
2             17            Boundary      BoundarySecond              j             j             3924          700Hz.wav     RIGHT         AARTMELON.jpg 1
2             2             SameContext   WithinFirst   j             j             7631          900Hz.wav     RIGHT         Abutterflynet.jpg           1
2             31            SameContext   WithinFourth  j             f             2120          800Hz.wav     LEFT          AFILM.jpg     0
2             21            SameContext   WithinThird   j             j             2114          700Hz.wav     RIGHT         ABALLBEAR.jpg 1
2             5             SameContext   WithinFirst   j             j             4356          900Hz.wav     RIGHT         Acactus58.jpg 1
2             30            SameContext   WithinFourth  j             f             1592          800Hz.wav     LEFT          ALOAFBR4.jpg  0
2             4             SameContext   WithinFirst   f             j             2252          900Hz.wav     RIGHT         ABALLYAR4.jpg 0
2             26            SameContext   WithinFourth  f             f             3273          800Hz.wav     LEFT          AMUSICSTA.jpg 1
2             32            Last          LastItem      f             f             1123          800Hz.wav     LEFT          AANTCASH3.jpg 1
2             24            SameContext   WithinThird   j             j             10504         700Hz.wav     RIGHT         AANBABYCA.jpg 1
2             10            SameContext   WithinSecond  j             f             7532          1000Hz.wav    LEFT          Adoorknocker2.jpg           0
