Block         PositionCategory            Condition     ObjectFar     ObjectNear    RecencyRESP   RecencyCorrRESP             RecencyAcc    RecencyRT     DurationRESP  DurationRT    BoundaryItem
1             AcrossFirst2  Boundary      ACAROUSE2.jpg AGOLDCUP6.jpg f             j             0             6565          4             5862          Abandleaders2.jpg
1             AcrossFirst1  Boundary      Apokerchips3.jpg            APINGPON3.jpg j             f             0             3181          2             3413          Abandleaders2.jpg
1             AcrossThird1  Boundary      Aancientbuild.jpg           Abackpack11.jpg             j             j             1             2578          2             3327          Apaperclip6.jpg
1             AcrossSecond1 Boundary      Abottleopener.jpg           Abridge9.jpg  f             f             1             5846          3             2705          Alock34.jpg
1             WithinFirst2  SameContext   Acactus58.jpg ADRYWOOD.jpg  f             f             1             2903          1             1737          AICEUBETR.jpg
1             WithinFourth2 SameContext   Acabinetwithm.jpg           Abicycleglove.jpg           j             j             1             4544          4             3104          Aammonitefo14.jpg
1             WithinSecond1 SameContext   Abandleaders2.jpg           ABATHTUB3.jpg j             f             0             2936          3             2769          AGOLDCUP6.jpg
1             AcrossSecond2 Boundary      Agiftbag20.jpg              AHYDRANTF.jpg f             j             0             2604          1             1705          Alock34.jpg
1             WithinFourth1 SameContext   Apaperclip6.jpg             ADAQUIRI.jpg  j             j             1             2841          2             2533          Aammonitefo14.jpg
1             WithinThird2  SameContext   Alifebuo3.jpg Aboxofchocola.jpg           j             f             0             3584          1             1362          AHYDRANTF.jpg
1             WithinSecond2 SameContext   Agarbagebag.jpg             ANUTCRA10.jpg f             f             1             3279          4             2267          AGOLDCUP6.jpg
1             AcrossThird2  Boundary      Alifeves2.jpg Aammonitefo14.jpg           j             j             1             3184          2             1776          Apaperclip6.jpg
1             WithinThird1  SameContext   Alock34.jpg   ALOVSEA10.jpg f             j             0             3838          2             1631          AHYDRANTF.jpg
1             WithinFirst1  SameContext   Afloweredsan3.jpg           Agraduationh2.jpg           f             f             1             2282          3             1858          AICEUBETR.jpg
2             AcrossFirst1  Boundary      Aornamentalt5.jpg           A3leafcl4.jpg f             j             0             7500          2             1684          Acartonofegg3.jpg
2             WithinFourth2 SameContext   AAMMO4.jpg    ACAFLATT3.jpg j             f             0             4725          3             2471          ACANDLE30.jpg
2             WithinSecond2 SameContext   Ablouse2.jpg  AARTIVE6.jpg  f             f             1             2069          2             1492          Aclimbersicep.jpg
2             WithinFirst1  SameContext   AARTMELON.jpg ADOGFOOD.jpg  f             f             1             1868          3             1274          Afan49.jpg
2             AcrossSecond2 Boundary      A_teabag.jpg  Aclock261.jpg j             j             1             2209          3             2708          AHONEYJA2.jpg
2             AcrossSecond1 Boundary      Abaleofhay.jpg              ABULDOZER.jpg f             j             0             3241          2             1447          AHONEYJA2.jpg
2             AcrossThird1  Boundary      Abreakpl2.jpg Abutterflynet.jpg           f             j             0             2480          2             1265          AHEDGEHOG.jpg
2             WithinFourth1 SameContext   AHEDGEHOG.jpg Alipstick3.jpg              j             j             1             1385          2             1504          ACANDLE30.jpg
2             AcrossThird2  Boundary      AANTSTOV6.jpg ACANDLE30.jpg j             j             1             3287          1             1364          AHEDGEHOG.jpg
