Subject;Experiment;BoundaryItem_EncodeRT;FirstItem_EncodeRT;LastItem_Encode_RT;SameContext_EncodeRT;Boundary_OrderRT;SameContext_OrderRT;Boundary_OrderAcc;SameContext_OrderAcc;BoundaryDistanceRating;SameContext_DistanceRating;BoundaryDistance_RT;SameContext_Distance_RT;BoundaryItem_SourceRT;FirstItem_SourceRT;LastItem_SourceRT;SameContext_Source_RT;BoundaryItem_SourceAcc;FirstItem_SourceAcc;LastIem_SourceAcc;SameContext_Item_SourceAcc
102;Study1;1560,190476190;1632,857142857;1685,428571429;1509,072916667;4944,809523810;4647,000000000;0,644444444;0,583333333;2,780487805;2,357142857;1750,595238095;1326,339285714;1989,380952381;2143,428571429;2079,000000000;2372,033333333;0,595238095;0,571428571;0,428571429;0,546428571
103;Study1;1235,880952381;934,000000000;1169,571428571;1194,116071429;3937,833333333;4212,660714286;0,377777778;0,600000000;2,785714286;2,666666667;1872,500000000;1828,428571429;1761,833333333;2029,285714286;1354,500000000;1587,979761905;0,428571429;0,214285714;0,357142857;0,448809524
104;Study1;1341,166666667;1195,000000000;1388,642857143;1178,412202381;2895,404761905;3410,607142857;0,555555556;0,700000000;2,547619048;2,339285714;1351,404761905;1311,303571429;1096,476190476;1140,071428571;898,928571429;1148,191666667;0,857142857;0,571428571;0,714285714;0,640476190
105;Study1;795,761904762;747,642857143;753,285714286;741,985119048;2274,690476190;2270,125000000;0,533333333;0,600000000;2,976190476;2,875000000;825,404761905;777,607142857;950,785714286;869,285714286;729,285714286;1013,559523810;0,714285714;0,500000000;0,714285714;0,597619048
106;Study1;973,619047619;1428,214285714;826,000000000;865,678571429;1699,595238095;1428,964285714;0,488888889;0,450000000;2,219512195;2,267857143;775,047619048;733,571428571;976,357142857;1097,642857143;1171,214285714;1073,801190476;0,666666667;0,428571429;0,571428571;0,530952381
107;Study1;1418,809523810;1718,785714286;1394,785714286;1469,730654762;5630,428571429;4728,196428571;0,466666667;0,533333333;2,761904762;2,732142857;1303,785714286;1468,214285714;1442,023809524;1182,857142857;1484,142857143;1690,140476190;0,809523810;0,928571429;0,714285714;0,648809524
108;Study1;1259,142857143;1305,714285714;912,785714286;1170,577380952;3016,380952381;2607,910714286;0,422222222;0,466666667;2,809523810;2,625000000;1303,071428571;1321,517857143;1349,285714286;1612,500000000;1287,000000000;1328,672619048;0,571428571;0,285714286;0,642857143;0,548809524
109;Study1;774,071428571;748,928571429;448,857142857;661,828869048;1014,976190476;850,535714286;0,577777778;0,433333333;2,743589744;2,314814815;805,952380952;769,714285714;721,261904762;726,000000000;751,642857143;690,670238095;0,404761905;0,500000000;0,571428571;0,483333333
110;Study1;1020,047619048;1148,571428571;1086,428571429;1024,272321429;2619,809523810;2612,142857143;0,511111111;0,683333333;2,761904762;2,642857143;1125,666666667;1002,125000000;991,595238095;1273,785714286;932,857142857;1029,515476190;0,976190476;1,000000000;0,928571429;0,816666667
111;Study1;1273,404761905;1333,857142857;1183,857142857;1198,315476190;1882,404761905;1902,339285714;0,600000000;0,550000000;2,309523810;2,357142857;782,095238095;781,375000000;853,904761905;772,142857143;685,214285714;807,400000000;0,833333333;0,571428571;0,714285714;0,671428571
112;Study1;1283,500000000;1457,857142857;1387,571428571;1132,078869048;2202,928571429;2519,642857143;0,533333333;0,650000000;2,523809524;2,517857143;885,690476190;1109,142857143;948,904761905;1153,714285714;769,714285714;986,925000000;0,928571429;0,928571429;0,500000000;0,878571429
113;Study1;1216,238095238;1005,928571429;1239,785714286;1168,855654762;6021,500000000;5408,017857143;0,444444444;0,683333333;2,404761905;2,303571429;2037,785714286;1866,428571429;3243,928571429;6009,642857143;2621,642857143;3471,939285714;0,547619048;0,500000000;0,571428571;0,534523810
114;Study1;1592,785714286;1270,142857143;1236,642857143;1257,852678571;2985,714285714;3277,732142857;0,622222222;0,666666667;2,571428571;2,732142857;1511,047619048;1537,589285714;.;.;.;.;.;.;.;.
115;Study1;960,357142857;1211,357142857;1064,500000000;1086,040178571;6642,714285714;6372,517857143;0,400000000;0,550000000;2,333333333;2,267857143;998,619047619;1575,785714286;.;.;.;.;.;.;.;.
116;Study1;1067,833333333;1147,357142857;1114,785714286;1101,255952381;4421,619047619;4470,178571429;0,644444444;0,683333333;2,642857143;2,714285714;1614,238095238;1404,607142857;.;.;.;.;.;.;.;.
117;Study1;1362,071428571;1230,571428571;1029,071428571;1152,416666667;4115,500000000;4206,053571429;0,622222222;0,633333333;2,452380952;2,339285714;1384,119047619;1361,267857143;.;.;.;.;.;.;.;.
118;Study1;1471,738095238;877,071428571;1586,214285714;1361,599702381;3608,738095238;3097,839285714;0,555555556;0,500000000;3,170731707;3,178571429;1145,500000000;1119,303571429;1699,380952381;1646,500000000;1508,000000000;1448,286904762;0,738095238;0,785714286;0,571428571;0,601190476
122;Study1;1163,809523810;1404,142857143;1048,714285714;1013,172619048;3696,428571429;4259,625000000;0,466666667;0,533333333;2,500000000;2,181818182;1686,976190476;1442,267857143;1229,880952381;1785,857142857;1828,357142857;1438,226190476;0,857142857;0,642857143;0,785714286;0,748809524
123;Study1;1353,976190476;1322,500000000;1330,000000000;1247,010416667;1613,928571429;1547,232142857;0,555555556;0,733333333;2,928571429;2,910714286;677,452380952;679,410714286;753,642857143;647,071428571;608,714285714;705,215476190;0,690476190;0,857142857;0,785714286;0,722619048
124;Study1;1503,380952381;1289,142857143;1446,642857143;1305,495535714;5320,571428571;4704,892857143;0,644444444;0,883333333;2,714285714;1,839285714;1860,809523810;1658,803571429;.;.;.;.;.;.;.;.
125;Study1;1316,619047619;1535,571428571;1339,500000000;1220,345238095;2749,142857143;3042,107142857;0,400000000;0,650000000;2,523809524;2,678571429;1512,119047619;1454,178571429;1323,666666667;1672,285714286;1754,928571429;1413,353571429;0,833333333;0,857142857;0,785714286;0,715476190
140;Study1;1332,214285714;1501,714285714;1176,500000000;1296,157738095;6286,023809524;5447,339285714;0,444444444;0,566666667;2,142857143;2,392857143;1876,095238095;1987,000000000;.;.;.;.;.;.;.;.
141;Study1;926,119047619;1368,214285714;889,571428571;906,300595238;5308,476190476;5604,982142857;0,511111111;0,516666667;2,666666667;2,472727273;2149,857142857;2550,517857143;1935,261904762;2965,857142857;2627,214285714;2534,934523810;0,928571429;0,928571429;0,857142857;0,771428571
146;Study1;1348,761904762;1078,214285714;1412,428571429;1352,227678571;4556,785714286;4722,125000000;0,511111111;0,516666667;2,261904762;2,196428571;2192,428571429;2463,125000000;2637,547619048;2698,928571429;2001,428571429;2563,353571429;0,642857143;0,642857143;0,571428571;0,701190476
149;Study1;1138,261904762;1288,428571429;1066,500000000;960,120535714;2483,714285714;2487,303571429;0,400000000;0,600000000;2,833333333;2,981132075;1017,452380952;1232,142857143;818,738095238;641,071428571;769,142857143;832,177380952;0,452380952;0,357142857;0,571428571;0,505952381
