"Subject","Experiment","ratio","Condition"
102,"Study1","0,595238095","Boundary"
103,"Study1","0,428571429","Boundary"
104,"Study1","0,857142857","Boundary"
105,"Study1","0,714285714","Boundary"
106,"Study1","0,666666667","Boundary"
107,"Study1","0,80952381","Boundary"
108,"Study1","0,571428571","Boundary"
109,"Study1","0,404761905","Boundary"
110,"Study1","0,976190476","Boundary"
111,"Study1","0,833333333","Boundary"
112,"Study1","0,928571429","Boundary"
113,"Study1","0,547619048","Boundary"
118,"Study1","0,738095238","Boundary"
122,"Study1","0,857142857","Boundary"
123,"Study1","0,69047619","Boundary"
125,"Study1","0,833333333","Boundary"
141,"Study1","0,928571429","Boundary"
146,"Study1","0,642857143","Boundary"
149,"Study1","0,452380952","Boundary"
150,"Study1","0,976190476","Boundary"
152,"Study1","0,952380952","Boundary"
155,"Study1","0,833333333","Boundary"
165,"Study1","0,785714286","Boundary"
166,"Study1","0,952380952","Boundary"
167,"Study1","0,80952381","Boundary"
168,"Study1","0,642857143","Boundary"
169,"Study1","0,738095238","Boundary"
170,"Study1","0,904761905","Boundary"
121,"Study2","0,928571429","Boundary"
126,"Study2","0,976190476","Boundary"
127,"Study2","0,904761905","Boundary"
128,"Study2","0,833333333","Boundary"
129,"Study2","0,785714286","Boundary"
130,"Study2","0,976190476","Boundary"
131,"Study2","0,69047619","Boundary"
132,"Study2","0,976190476","Boundary"
133,"Study2","0,761904762","Boundary"
134,"Study2","0,976190476","Boundary"
135,"Study2","0,738095238","Boundary"
136,"Study2","0,761904762","Boundary"
137,"Study2","0,5","Boundary"
138,"Study2","0,785714286","Boundary"
139,"Study2","0,928571429","Boundary"
142,"Study2","0,738095238","Boundary"
143,"Study2","0,785714286","Boundary"
144,"Study2","0,928571429","Boundary"
145,"Study2","0,952380952","Boundary"
147,"Study2","0,904761905","Boundary"
148,"Study2","0,928571429","Boundary"
151,"Study2","0,785714286","Boundary"
153,"Study2","0,880952381","Boundary"
154,"Study2","0,952380952","Boundary"
156,"Study2","0,428571429","Boundary"
157,"Study2","0,80952381","Boundary"
158,"Study2","0,714285714","Boundary"
160,"Study2","0,833333333","Boundary"
161,"Study2","0,976190476","Boundary"
163,"Study2","0,976190476","Boundary"
164,"Study2","0,80952381","Boundary"
176,"Study2","0,928571429","Boundary"
177,"Study2","0,69047619","Boundary"
178,"Study2","0,904761905","Boundary"
179,"Study2","0,952380952","Boundary"
201,"Study3","0,880952381","Boundary"
204,"Study3","0,833333333","Boundary"
205,"Study3","0,69047619","Boundary"
206,"Study3","0,928571429","Boundary"
207,"Study3","0,928571429","Boundary"
208,"Study3","0,69047619","Boundary"
209,"Study3","0,595238095","Boundary"
210,"Study3","0,5","Boundary"
211,"Study3","0,738095238","Boundary"
213,"Study3","0,904761905","Boundary"
214,"Study3","0,595238095","Boundary"
215,"Study3","0,571428571","Boundary"
216,"Study3","0,952380952","Boundary"
217,"Study3","0,80952381","Boundary"
219,"Study3","1","Boundary"
221,"Study3","0,833333333","Boundary"
222,"Study3","0,80952381","Boundary"
224,"Study3","0,904761905","Boundary"
225,"Study3","0,357142857","Boundary"
226,"Study3","0,619047619","Boundary"
227,"Study3","0,80952381","Boundary"
229,"Study3","0,80952381","Boundary"
230,"Study3","0,928571429","Boundary"
231,"Study3","0,761904762","Boundary"
233,"Study3","0,952380952","Boundary"
234,"Study3","0,69047619","Boundary"
235,"Study3","0,880952381","Boundary"
236,"Study3","0,80952381","Boundary"
237,"Study3","0,976190476","Boundary"
239,"Study3","0,80952381","Boundary"
102,"Study1","0,546428571","SameContext"
103,"Study1","0,448809524","SameContext"
104,"Study1","0,64047619","SameContext"
105,"Study1","0,597619048","SameContext"
106,"Study1","0,530952381","SameContext"
107,"Study1","0,648809524","SameContext"
108,"Study1","0,548809524","SameContext"
109,"Study1","0,483333333","SameContext"
110,"Study1","0,816666667","SameContext"
111,"Study1","0,671428571","SameContext"
112,"Study1","0,878571429","SameContext"
113,"Study1","0,53452381","SameContext"
118,"Study1","0,601190476","SameContext"
122,"Study1","0,748809524","SameContext"
123,"Study1","0,722619048","SameContext"
125,"Study1","0,71547619","SameContext"
141,"Study1","0,771428571","SameContext"
146,"Study1","0,701190476","SameContext"
149,"Study1","0,505952381","SameContext"
150,"Study1","0,946428571","SameContext"
152,"Study1","0,879761905","SameContext"
155,"Study1","0,732142857","SameContext"
165,"Study1","0,526190476","SameContext"
166,"Study1","0,853571429","SameContext"
167,"Study1","0,794047619","SameContext"
168,"Study1","0,523809524","SameContext"
169,"Study1","0,722619048","SameContext"
170,"Study1","0,817857143","SameContext"
121,"Study2","0,8","SameContext"
126,"Study2","0,851190476","SameContext"
127,"Study2","0,71547619","SameContext"
128,"Study2","0,729761905","SameContext"
129,"Study2","0,732142857","SameContext"
130,"Study2","0,877380952","SameContext"
131,"Study2","0,627380952","SameContext"
132,"Study2","0,978571429","SameContext"
133,"Study2","0,721428571","SameContext"
134,"Study2","0,821428571","SameContext"
135,"Study2","0,56547619","SameContext"
136,"Study2","0,682142857","SameContext"
137,"Study2","0,489285714","SameContext"
138,"Study2","0,727380952","SameContext"
139,"Study2","0,763095238","SameContext"
142,"Study2","0,626190476","SameContext"
143,"Study2","0,672619048","SameContext"
144,"Study2","0,771428571","SameContext"
145,"Study2","0,848809524","SameContext"
147,"Study2","0,904761905","SameContext"
148,"Study2","0,873809524","SameContext"
151,"Study2","0,605952381","SameContext"
153,"Study2","0,725","SameContext"
154,"Study2","0,870238095","SameContext"
156,"Study2","0,403571429","SameContext"
157,"Study2","0,857142857","SameContext"
158,"Study2","0,603571429","SameContext"
160,"Study2","0,836904762","SameContext"
161,"Study2","0,869047619","SameContext"
163,"Study2","0,854761905","SameContext"
164,"Study2","0,697619048","SameContext"
176,"Study2","0,76547619","SameContext"
177,"Study2","0,554761905","SameContext"
178,"Study2","0,796428571","SameContext"
179,"Study2","0,910714286","SameContext"
201,"Study3","0,786904762","SameContext"
204,"Study3","0,726190476","SameContext"
205,"Study3","0,625","SameContext"
206,"Study3","0,876190476","SameContext"
207,"Study3","0,894047619","SameContext"
208,"Study3","0,547619048","SameContext"
209,"Study3","0,555952381","SameContext"
210,"Study3","0,566666667","SameContext"
211,"Study3","0,6","SameContext"
213,"Study3","0,73452381","SameContext"
214,"Study3","0,469047619","SameContext"
215,"Study3","0,488095238","SameContext"
216,"Study3","0,807142857","SameContext"
217,"Study3","0,780952381","SameContext"
219,"Study3","0,903571429","SameContext"
221,"Study3","0,783333333","SameContext"
222,"Study3","0,779761905","SameContext"
224,"Study3","0,751190476","SameContext"
225,"Study3","0,552380952","SameContext"
226,"Study3","0,554761905","SameContext"
227,"Study3","0,760714286","SameContext"
229,"Study3","0,710714286","SameContext"
230,"Study3","0,861904762","SameContext"
231,"Study3","0,785714286","SameContext"
233,"Study3","0,85952381","SameContext"
234,"Study3","0,55952381","SameContext"
235,"Study3","0,773809524","SameContext"
236,"Study3","0,857142857","SameContext"
237,"Study3","0,91547619","SameContext"
239,"Study3","0,74047619","SameContext"
102,"Study1","0,571428571","First"
103,"Study1","0,214285714","First"
104,"Study1","0,571428571","First"
105,"Study1","0,5","First"
106,"Study1","0,428571429","First"
107,"Study1","0,928571429","First"
108,"Study1","0,285714286","First"
109,"Study1","0,5","First"
110,"Study1","1","First"
111,"Study1","0,571428571","First"
112,"Study1","0,928571429","First"
113,"Study1","0,5","First"
118,"Study1","0,785714286","First"
122,"Study1","0,642857143","First"
123,"Study1","0,857142857","First"
125,"Study1","0,857142857","First"
141,"Study1","0,928571429","First"
146,"Study1","0,642857143","First"
149,"Study1","0,357142857","First"
150,"Study1","0,857142857","First"
152,"Study1","0,928571429","First"
155,"Study1","0,714285714","First"
165,"Study1","0,571428571","First"
166,"Study1","1","First"
167,"Study1","0,857142857","First"
168,"Study1","0,5","First"
169,"Study1","0,571428571","First"
170,"Study1","0,785714286","First"
121,"Study2","0,928571429","First"
126,"Study2","0,714285714","First"
127,"Study2","0,857142857","First"
128,"Study2","0,714285714","First"
129,"Study2","0,714285714","First"
130,"Study2","0,857142857","First"
131,"Study2","0,571428571","First"
132,"Study2","1","First"
133,"Study2","0,642857143","First"
134,"Study2","0,857142857","First"
135,"Study2","0,214285714","First"
136,"Study2","0,857142857","First"
137,"Study2","0,428571429","First"
138,"Study2","0,785714286","First"
139,"Study2","0,785714286","First"
142,"Study2","0,928571429","First"
143,"Study2","0,714285714","First"
144,"Study2","0,785714286","First"
145,"Study2","0,857142857","First"
147,"Study2","0,785714286","First"
148,"Study2","0,857142857","First"
151,"Study2","0,785714286","First"
153,"Study2","0,785714286","First"
154,"Study2","0,785714286","First"
156,"Study2","0,571428571","First"
157,"Study2","0,714285714","First"
158,"Study2","0,785714286","First"
160,"Study2","0,571428571","First"
161,"Study2","0,857142857","First"
163,"Study2","1","First"
164,"Study2","0,642857143","First"
176,"Study2","0,571428571","First"
177,"Study2","0,571428571","First"
178,"Study2","0,928571429","First"
179,"Study2","1","First"
201,"Study3","0,785714286","First"
204,"Study3","0,785714286","First"
205,"Study3","0,642857143","First"
206,"Study3","1","First"
207,"Study3","0,714285714","First"
208,"Study3","0,571428571","First"
209,"Study3","0,642857143","First"
210,"Study3","0,5","First"
211,"Study3","0,642857143","First"
213,"Study3","0,642857143","First"
214,"Study3","0,5","First"
215,"Study3","0,571428571","First"
216,"Study3","0,928571429","First"
217,"Study3","0,571428571","First"
219,"Study3","0,928571429","First"
221,"Study3","0,714285714","First"
222,"Study3","0,785714286","First"
224,"Study3","0,785714286","First"
225,"Study3","0,428571429","First"
226,"Study3","0,785714286","First"
227,"Study3","0,928571429","First"
229,"Study3","0,714285714","First"
230,"Study3","0,571428571","First"
231,"Study3","0,714285714","First"
233,"Study3","0,857142857","First"
234,"Study3","0,5","First"
235,"Study3","1","First"
236,"Study3","0,857142857","First"
237,"Study3","0,785714286","First"
239,"Study3","0,714285714","First"
102,"Study1","0,428571429","Last"
103,"Study1","0,357142857","Last"
104,"Study1","0,714285714","Last"
105,"Study1","0,714285714","Last"
106,"Study1","0,571428571","Last"
107,"Study1","0,714285714","Last"
108,"Study1","0,642857143","Last"
109,"Study1","0,571428571","Last"
110,"Study1","0,928571429","Last"
111,"Study1","0,714285714","Last"
112,"Study1","0,5","Last"
113,"Study1","0,571428571","Last"
118,"Study1","0,571428571","Last"
122,"Study1","0,785714286","Last"
123,"Study1","0,785714286","Last"
125,"Study1","0,785714286","Last"
141,"Study1","0,857142857","Last"
146,"Study1","0,571428571","Last"
149,"Study1","0,571428571","Last"
150,"Study1","1","Last"
152,"Study1","0,928571429","Last"
155,"Study1","0,785714286","Last"
165,"Study1","0,642857143","Last"
166,"Study1","0,857142857","Last"
167,"Study1","0,714285714","Last"
168,"Study1","0,428571429","Last"
169,"Study1","0,571428571","Last"
170,"Study1","0,857142857","Last"
121,"Study2","0,928571429","Last"
126,"Study2","0,928571429","Last"
127,"Study2","0,857142857","Last"
128,"Study2","0,785714286","Last"
129,"Study2","0,571428571","Last"
130,"Study2","0,857142857","Last"
131,"Study2","0,642857143","Last"
132,"Study2","0,928571429","Last"
133,"Study2","0,714285714","Last"
134,"Study2","0,714285714","Last"
135,"Study2","0,5","Last"
136,"Study2","0,642857143","Last"
137,"Study2","0,5","Last"
138,"Study2","0,785714286","Last"
139,"Study2","0,714285714","Last"
142,"Study2","0,428571429","Last"
143,"Study2","0,571428571","Last"
144,"Study2","0,785714286","Last"
145,"Study2","0,857142857","Last"
147,"Study2","0,857142857","Last"
148,"Study2","0,928571429","Last"
151,"Study2","0,857142857","Last"
153,"Study2","0,642857143","Last"
154,"Study2","0,928571429","Last"
156,"Study2","0,357142857","Last"
157,"Study2","0,785714286","Last"
158,"Study2","0,642857143","Last"
160,"Study2","0,785714286","Last"
161,"Study2","0,857142857","Last"
163,"Study2","1","Last"
164,"Study2","0,357142857","Last"
176,"Study2","0,714285714","Last"
177,"Study2","0,642857143","Last"
178,"Study2","0,928571429","Last"
179,"Study2","0,928571429","Last"
201,"Study3","0,714285714","Last"
204,"Study3","0,785714286","Last"
205,"Study3","0,5","Last"
206,"Study3","0,928571429","Last"
207,"Study3","1","Last"
208,"Study3","0,714285714","Last"
209,"Study3","0,428571429","Last"
210,"Study3","0,428571429","Last"
211,"Study3","0,642857143","Last"
213,"Study3","0,928571429","Last"
214,"Study3","0,428571429","Last"
215,"Study3","0,785714286","Last"
216,"Study3","0,857142857","Last"
217,"Study3","0,928571429","Last"
219,"Study3","0,857142857","Last"
221,"Study3","0,714285714","Last"
222,"Study3","0,928571429","Last"
224,"Study3","0,571428571","Last"
225,"Study3","0,571428571","Last"
226,"Study3","0,571428571","Last"
227,"Study3","1","Last"
229,"Study3","0,857142857","Last"
230,"Study3","0,928571429","Last"
231,"Study3","0,785714286","Last"
233,"Study3","0,857142857","Last"
234,"Study3","0,5","Last"
235,"Study3","0,928571429","Last"
236,"Study3","0,928571429","Last"
237,"Study3","1","Last"
239,"Study3","0,785714286","Last"
