"Subject","Experiment","ratio","Condition"
102,"Study1","2,780487805","Boundary"
103,"Study1","2,785714286","Boundary"
104,"Study1","2,547619048","Boundary"
105,"Study1","2,976190476","Boundary"
106,"Study1","2,219512195","Boundary"
107,"Study1","2,761904762","Boundary"
108,"Study1","2,80952381","Boundary"
109,"Study1","2,743589744","Boundary"
110,"Study1","2,761904762","Boundary"
111,"Study1","2,30952381","Boundary"
112,"Study1","2,523809524","Boundary"
113,"Study1","2,404761905","Boundary"
114,"Study1","2,571428571","Boundary"
115,"Study1","2,333333333","Boundary"
116,"Study1","2,642857143","Boundary"
117,"Study1","2,452380952","Boundary"
118,"Study1","3,170731707","Boundary"
122,"Study1","2,5","Boundary"
123,"Study1","2,928571429","Boundary"
124,"Study1","2,714285714","Boundary"
125,"Study1","2,523809524","Boundary"
140,"Study1","2,142857143","Boundary"
141,"Study1","2,666666667","Boundary"
146,"Study1","2,261904762","Boundary"
149,"Study1","2,833333333","Boundary"
150,"Study1","2,666666667","Boundary"
152,"Study1","2,547619048","Boundary"
155,"Study1","2,619047619","Boundary"
165,"Study1","2,452380952","Boundary"
166,"Study1","2,261904762","Boundary"
167,"Study1","2,380952381","Boundary"
168,"Study1","2,384615385","Boundary"
169,"Study1","2,595238095","Boundary"
170,"Study1","2,261904762","Boundary"
121,"Study2","2,523809524","Boundary"
126,"Study2","2,333333333","Boundary"
127,"Study2","2,595238095","Boundary"
128,"Study2","2,476190476","Boundary"
129,"Study2","2,333333333","Boundary"
130,"Study2","2,380952381","Boundary"
131,"Study2","2,261904762","Boundary"
132,"Study2","2,523809524","Boundary"
133,"Study2","2,357142857","Boundary"
134,"Study2","2,738095238","Boundary"
135,"Study2","2,857142857","Boundary"
136,"Study2","2,357142857","Boundary"
137,"Study2","2,30952381","Boundary"
138,"Study2","2,095238095","Boundary"
139,"Study2","2,452380952","Boundary"
142,"Study2","2,428571429","Boundary"
143,"Study2","2,547619048","Boundary"
144,"Study2","2,261904762","Boundary"
145,"Study2","2,738095238","Boundary"
147,"Study2","2,761904762","Boundary"
148,"Study2","2,761904762","Boundary"
151,"Study2","2,380952381","Boundary"
153,"Study2","2,5","Boundary"
154,"Study2","2,452380952","Boundary"
156,"Study2","2,714285714","Boundary"
157,"Study2","2,452380952","Boundary"
158,"Study2","2,071428571","Boundary"
160,"Study2","2,523809524","Boundary"
161,"Study2","2,952380952","Boundary"
163,"Study2","2,5","Boundary"
164,"Study2","2,333333333","Boundary"
176,"Study2","2,738095238","Boundary"
177,"Study2","2,785714286","Boundary"
178,"Study2","2,19047619","Boundary"
179,"Study2","2,80952381","Boundary"
201,"Study3","2,30952381","Boundary"
204,"Study3","1,880952381","Boundary"
205,"Study3","2,142857143","Boundary"
206,"Study3","2,69047619","Boundary"
207,"Study3","2,19047619","Boundary"
208,"Study3","2,571428571","Boundary"
209,"Study3","2,333333333","Boundary"
210,"Study3","2,571428571","Boundary"
211,"Study3","2,857142857","Boundary"
213,"Study3","2,738095238","Boundary"
214,"Study3","3,047619048","Boundary"
215,"Study3","2,761904762","Boundary"
216,"Study3","2,642857143","Boundary"
217,"Study3","3","Boundary"
219,"Study3","2,619047619","Boundary"
221,"Study3","2,357142857","Boundary"
222,"Study3","2,880952381","Boundary"
224,"Study3","2,571428571","Boundary"
225,"Study3","2,833333333","Boundary"
226,"Study3","2,571428571","Boundary"
227,"Study3","2,714285714","Boundary"
229,"Study3","2,80952381","Boundary"
230,"Study3","2,404761905","Boundary"
231,"Study3","2,761904762","Boundary"
233,"Study3","2,761904762","Boundary"
234,"Study3","2,047619048","Boundary"
235,"Study3","2,761904762","Boundary"
236,"Study3","2,619047619","Boundary"
237,"Study3","2,523809524","Boundary"
239,"Study3","2,547619048","Boundary"
102,"Study1","2,357142857","SameContext"
103,"Study1","2,666666667","SameContext"
104,"Study1","2,339285714","SameContext"
105,"Study1","2,875","SameContext"
106,"Study1","2,267857143","SameContext"
107,"Study1","2,732142857","SameContext"
108,"Study1","2,625","SameContext"
109,"Study1","2,314814815","SameContext"
110,"Study1","2,642857143","SameContext"
111,"Study1","2,357142857","SameContext"
112,"Study1","2,517857143","SameContext"
113,"Study1","2,303571429","SameContext"
114,"Study1","2,732142857","SameContext"
115,"Study1","2,267857143","SameContext"
116,"Study1","2,714285714","SameContext"
117,"Study1","2,339285714","SameContext"
118,"Study1","3,178571429","SameContext"
122,"Study1","2,181818182","SameContext"
123,"Study1","2,910714286","SameContext"
124,"Study1","1,839285714","SameContext"
125,"Study1","2,678571429","SameContext"
140,"Study1","2,392857143","SameContext"
141,"Study1","2,472727273","SameContext"
146,"Study1","2,196428571","SameContext"
149,"Study1","2,981132075","SameContext"
150,"Study1","2,196428571","SameContext"
152,"Study1","2,392857143","SameContext"
155,"Study1","2,607142857","SameContext"
165,"Study1","2,553571429","SameContext"
166,"Study1","2,309090909","SameContext"
167,"Study1","2,25","SameContext"
168,"Study1","2,4","SameContext"
169,"Study1","2,545454545","SameContext"
170,"Study1","2,303571429","SameContext"
121,"Study2","2,267857143","SameContext"
126,"Study2","2,392857143","SameContext"
127,"Study2","2,553571429","SameContext"
128,"Study2","2,732142857","SameContext"
129,"Study2","2,303571429","SameContext"
130,"Study2","2,25","SameContext"
131,"Study2","2,214285714","SameContext"
132,"Study2","1,589285714","SameContext"
133,"Study2","2,517857143","SameContext"
134,"Study2","2,625","SameContext"
