"Subject","Experiment","ratio","Condition"
121,"Study2","2,523809524","Boundary"
126,"Study2","2,333333333","Boundary"
127,"Study2","2,595238095","Boundary"
128,"Study2","2,476190476","Boundary"
129,"Study2","2,333333333","Boundary"
130,"Study2","2,380952381","Boundary"
131,"Study2","2,261904762","Boundary"
132,"Study2","2,523809524","Boundary"
133,"Study2","2,357142857","Boundary"
134,"Study2","2,738095238","Boundary"
135,"Study2","2,857142857","Boundary"
136,"Study2","2,357142857","Boundary"
137,"Study2","2,30952381","Boundary"
138,"Study2","2,095238095","Boundary"
139,"Study2","2,452380952","Boundary"
142,"Study2","2,428571429","Boundary"
143,"Study2","2,547619048","Boundary"
144,"Study2","2,261904762","Boundary"
145,"Study2","2,738095238","Boundary"
147,"Study2","2,761904762","Boundary"
148,"Study2","2,761904762","Boundary"
151,"Study2","2,380952381","Boundary"
153,"Study2","2,5","Boundary"
154,"Study2","2,452380952","Boundary"
156,"Study2","2,714285714","Boundary"
157,"Study2","2,452380952","Boundary"
158,"Study2","2,071428571","Boundary"
160,"Study2","2,523809524","Boundary"
161,"Study2","2,952380952","Boundary"
163,"Study2","2,5","Boundary"
164,"Study2","2,333333333","Boundary"
176,"Study2","2,738095238","Boundary"
177,"Study2","2,785714286","Boundary"
178,"Study2","2,19047619","Boundary"
179,"Study2","2,80952381","Boundary"
121,"Study2","2,267857143","SameContext"
126,"Study2","2,392857143","SameContext"
127,"Study2","2,553571429","SameContext"
128,"Study2","2,732142857","SameContext"
129,"Study2","2,303571429","SameContext"
130,"Study2","2,25","SameContext"
131,"Study2","2,214285714","SameContext"
132,"Study2","1,589285714","SameContext"
133,"Study2","2,517857143","SameContext"
134,"Study2","2,625","SameContext"
135,"Study2","2,839285714","SameContext"
136,"Study2","2,410714286","SameContext"
137,"Study2","2,285714286","SameContext"
138,"Study2","2,017857143","SameContext"
139,"Study2","2,178571429","SameContext"
142,"Study2","2,517857143","SameContext"
143,"Study2","2,571428571","SameContext"
144,"Study2","1,982142857","SameContext"
145,"Study2","2,321428571","SameContext"
147,"Study2","1,946428571","SameContext"
148,"Study2","2,071428571","SameContext"
151,"Study2","2,482142857","SameContext"
153,"Study2","2,5","SameContext"
154,"Study2","2,5","SameContext"
156,"Study2","2,785714286","SameContext"
157,"Study2","2,339285714","SameContext"
158,"Study2","2,232142857","SameContext"
160,"Study2","2,339285714","SameContext"
161,"Study2","2,303571429","SameContext"
163,"Study2","2,321428571","SameContext"
164,"Study2","2,214285714","SameContext"
176,"Study2","2,660714286","SameContext"
177,"Study2","2,517857143","SameContext"
178,"Study2","2,107142857","SameContext"
179,"Study2","1,839285714","SameContext"
