"Subject","Experiment","ratio","Condition"
102,"Study1","0,644444444","Boundary"
103,"Study1","0,377777778","Boundary"
104,"Study1","0,555555556","Boundary"
105,"Study1","0,533333333","Boundary"
106,"Study1","0,488888889","Boundary"
107,"Study1","0,466666667","Boundary"
108,"Study1","0,422222222","Boundary"
109,"Study1","0,577777778","Boundary"
110,"Study1","0,511111111","Boundary"
111,"Study1","0,6","Boundary"
112,"Study1","0,533333333","Boundary"
113,"Study1","0,444444444","Boundary"
114,"Study1","0,622222222","Boundary"
115,"Study1","0,4","Boundary"
116,"Study1","0,644444444","Boundary"
117,"Study1","0,622222222","Boundary"
118,"Study1","0,555555556","Boundary"
122,"Study1","0,466666667","Boundary"
123,"Study1","0,555555556","Boundary"
124,"Study1","0,644444444","Boundary"
125,"Study1","0,4","Boundary"
140,"Study1","0,444444444","Boundary"
141,"Study1","0,511111111","Boundary"
146,"Study1","0,511111111","Boundary"
149,"Study1","0,4","Boundary"
150,"Study1","0,444444444","Boundary"
152,"Study1","0,666666667","Boundary"
155,"Study1","0,555555556","Boundary"
165,"Study1","0,355555556","Boundary"
166,"Study1","0,488888889","Boundary"
167,"Study1","0,511111111","Boundary"
168,"Study1","0,311111111","Boundary"
169,"Study1","0,666666667","Boundary"
170,"Study1","0,577777778","Boundary"
121,"Study2","0,595238095","Boundary"
126,"Study2","0,428571429","Boundary"
127,"Study2","0,476190476","Boundary"
128,"Study2","0,452380952","Boundary"
129,"Study2","0,5","Boundary"
130,"Study2","0,595238095","Boundary"
131,"Study2","0,523809524","Boundary"
132,"Study2","0,761904762","Boundary"
133,"Study2","0,547619048","Boundary"
134,"Study2","0,476190476","Boundary"
135,"Study2","0,452380952","Boundary"
136,"Study2","0,428571429","Boundary"
137,"Study2","0,428571429","Boundary"
138,"Study2","0,523809524","Boundary"
139,"Study2","0,571428571","Boundary"
142,"Study2","0,642857143","Boundary"
143,"Study2","0,428571429","Boundary"
144,"Study2","0,5","Boundary"
145,"Study2","0,571428571","Boundary"
147,"Study2","0,69047619","Boundary"
148,"Study2","0,547619048","Boundary"
151,"Study2","0,5","Boundary"
153,"Study2","0,571428571","Boundary"
154,"Study2","0,547619048","Boundary"
156,"Study2","0,523809524","Boundary"
157,"Study2","0,547619048","Boundary"
158,"Study2","0,642857143","Boundary"
160,"Study2","0,619047619","Boundary"
161,"Study2","0,642857143","Boundary"
163,"Study2","0,547619048","Boundary"
164,"Study2","0,595238095","Boundary"
176,"Study2","0,428571429","Boundary"
177,"Study2","0,30952381","Boundary"
178,"Study2","0,476190476","Boundary"
179,"Study2","0,666666667","Boundary"
201,"Study3","0,523809524","Boundary"
204,"Study3","0,428571429","Boundary"
205,"Study3","0,619047619","Boundary"
206,"Study3","0,738095238","Boundary"
207,"Study3","0,714285714","Boundary"
208,"Study3","0,547619048","Boundary"
209,"Study3","0,476190476","Boundary"
210,"Study3","0,5","Boundary"
211,"Study3","0,357142857","Boundary"
213,"Study3","0,69047619","Boundary"
214,"Study3","0,642857143","Boundary"
215,"Study3","0,523809524","Boundary"
216,"Study3","0,619047619","Boundary"
217,"Study3","0,523809524","Boundary"
219,"Study3","0,595238095","Boundary"
221,"Study3","0,642857143","Boundary"
222,"Study3","0,666666667","Boundary"
224,"Study3","0,476190476","Boundary"
225,"Study3","0,571428571","Boundary"
226,"Study3","0,523809524","Boundary"
227,"Study3","0,595238095","Boundary"
229,"Study3","0,547619048","Boundary"
230,"Study3","0,285714286","Boundary"
231,"Study3","0,5","Boundary"
233,"Study3","0,547619048","Boundary"
234,"Study3","0,547619048","Boundary"
235,"Study3","0,571428571","Boundary"
236,"Study3","0,642857143","Boundary"
237,"Study3","0,714285714","Boundary"
239,"Study3","0,69047619","Boundary"
102,"Study1","0,583333333","SameContext"
103,"Study1","0,6","SameContext"
104,"Study1","0,7","SameContext"
105,"Study1","0,6","SameContext"
106,"Study1","0,45","SameContext"
107,"Study1","0,533333333","SameContext"
108,"Study1","0,466666667","SameContext"
109,"Study1","0,433333333","SameContext"
110,"Study1","0,683333333","SameContext"
111,"Study1","0,55","SameContext"
112,"Study1","0,65","SameContext"
113,"Study1","0,683333333","SameContext"
114,"Study1","0,666666667","SameContext"
115,"Study1","0,55","SameContext"
116,"Study1","0,683333333","SameContext"
117,"Study1","0,633333333","SameContext"
118,"Study1","0,5","SameContext"
122,"Study1","0,533333333","SameContext"
123,"Study1","0,733333333","SameContext"
124,"Study1","0,883333333","SameContext"
125,"Study1","0,65","SameContext"
140,"Study1","0,566666667","SameContext"
141,"Study1","0,516666667","SameContext"
146,"Study1","0,516666667","SameContext"
149,"Study1","0,6","SameContext"
150,"Study1","0,716666667","SameContext"
152,"Study1","0,666666667","SameContext"
155,"Study1","0,533333333","SameContext"
165,"Study1","0,45","SameContext"
