"Subject","Experiment","ratio","Condition"
121,"Study2","0,595238095","Boundary"
126,"Study2","0,428571429","Boundary"
127,"Study2","0,476190476","Boundary"
128,"Study2","0,452380952","Boundary"
129,"Study2","0,5","Boundary"
130,"Study2","0,595238095","Boundary"
131,"Study2","0,523809524","Boundary"
132,"Study2","0,761904762","Boundary"
133,"Study2","0,547619048","Boundary"
134,"Study2","0,476190476","Boundary"
135,"Study2","0,452380952","Boundary"
136,"Study2","0,428571429","Boundary"
137,"Study2","0,428571429","Boundary"
138,"Study2","0,523809524","Boundary"
139,"Study2","0,571428571","Boundary"
142,"Study2","0,642857143","Boundary"
143,"Study2","0,428571429","Boundary"
144,"Study2","0,5","Boundary"
145,"Study2","0,571428571","Boundary"
147,"Study2","0,69047619","Boundary"
148,"Study2","0,547619048","Boundary"
151,"Study2","0,5","Boundary"
153,"Study2","0,571428571","Boundary"
154,"Study2","0,547619048","Boundary"
156,"Study2","0,523809524","Boundary"
157,"Study2","0,547619048","Boundary"
158,"Study2","0,642857143","Boundary"
160,"Study2","0,619047619","Boundary"
161,"Study2","0,642857143","Boundary"
163,"Study2","0,547619048","Boundary"
164,"Study2","0,595238095","Boundary"
176,"Study2","0,428571429","Boundary"
177,"Study2","0,30952381","Boundary"
178,"Study2","0,476190476","Boundary"
179,"Study2","0,666666667","Boundary"
121,"Study2","0,714285714","SameContext"
126,"Study2","0,5","SameContext"
127,"Study2","0,625","SameContext"
128,"Study2","0,5","SameContext"
129,"Study2","0,589285714","SameContext"
130,"Study2","0,678571429","SameContext"
131,"Study2","0,625","SameContext"
132,"Study2","0,964285714","SameContext"
133,"Study2","0,553571429","SameContext"
134,"Study2","0,696428571","SameContext"
135,"Study2","0,535714286","SameContext"
136,"Study2","0,642857143","SameContext"
137,"Study2","0,375","SameContext"
138,"Study2","0,625","SameContext"
139,"Study2","0,625","SameContext"
142,"Study2","0,732142857","SameContext"
143,"Study2","0,589285714","SameContext"
144,"Study2","0,625","SameContext"
145,"Study2","0,660714286","SameContext"
147,"Study2","0,875","SameContext"
148,"Study2","0,732142857","SameContext"
151,"Study2","0,464285714","SameContext"
153,"Study2","0,571428571","SameContext"
154,"Study2","0,714285714","SameContext"
156,"Study2","0,517857143","SameContext"
157,"Study2","0,714285714","SameContext"
158,"Study2","0,464285714","SameContext"
160,"Study2","0,696428571","SameContext"
161,"Study2","0,75","SameContext"
163,"Study2","0,821428571","SameContext"
164,"Study2","0,571428571","SameContext"
176,"Study2","0,607142857","SameContext"
177,"Study2","0,553571429","SameContext"
178,"Study2","0,625","SameContext"
179,"Study2","0,839285714","SameContext"
