Subject;Experiment;BoundaryItem_EncodeRT;FirstItem_EncodeRT;LastItem_Encode_RT;SameContext_EncodeRT;Boundary_OrderRT;SameContext_OrderRT;Boundary_OrderAcc;SameContext_OrderAcc;BoundaryDistanceRating;SameContext_DistanceRating;BoundaryDistance_RT;SameContext_Distance_RT;BoundaryItem_SourceRT;FirstItem_SourceRT;LastItem_SourceRT;SameContext_Source_RT;BoundaryItem_SourceAcc;FirstItem_SourceAcc;LastIem_SourceAcc;SameContext_Item_SourceAcc
102,00;Study1;1560,19;1632,86;1685,43;1509,07;4944,81;4647,00;0,64;0,58;2,78;2,36;1750,60;1326,34;1989,38;2143,43;2079,00;2372,03;0,60;0,57;0,43;0,55
103,00;Study1;1235,88;934,00;1169,57;1194,12;3937,83;4212,66;0,38;0,60;2,79;2,67;1872,50;1828,43;1761,83;2029,29;1354,50;1587,98;0,43;0,21;0,36;0,45
104,00;Study1;1341,17;1195,00;1388,64;1178,41;2895,40;3410,61;0,56;0,70;2,55;2,34;1351,40;1311,30;1096,48;1140,07;898,93;1148,19;0,86;0,57;0,71;0,64
105,00;Study1;795,76;747,64;753,29;741,99;2274,69;2270,13;0,53;0,60;2,98;2,88;825,40;777,61;950,79;869,29;729,29;1013,56;0,71;0,50;0,71;0,60
106,00;Study1;973,62;1428,21;826,00;865,68;1699,60;1428,96;0,49;0,45;2,22;2,27;775,05;733,57;976,36;1097,64;1171,21;1073,80;0,67;0,43;0,57;0,53
107,00;Study1;1418,81;1718,79;1394,79;1469,73;5630,43;4728,20;0,47;0,53;2,76;2,73;1303,79;1468,21;1442,02;1182,86;1484,14;1690,14;0,81;0,93;0,71;0,65
108,00;Study1;1259,14;1305,71;912,79;1170,58;3016,38;2607,91;0,42;0,47;2,81;2,63;1303,07;1321,52;1349,29;1612,50;1287,00;1328,67;0,57;0,29;0,64;0,55
109,00;Study1;774,07;748,93;448,86;661,83;1014,98;850,54;0,58;0,43;2,74;2,31;805,95;769,71;721,26;726,00;751,64;690,67;0,40;0,50;0,57;0,48
110,00;Study1;1020,05;1148,57;1086,43;1024,27;2619,81;2612,14;0,51;0,68;2,76;2,64;1125,67;1002,13;991,60;1273,79;932,86;1029,52;0,98;1,00;0,93;0,82
111,00;Study1;1273,40;1333,86;1183,86;1198,32;1882,40;1902,34;0,60;0,55;2,31;2,36;782,10;781,38;853,90;772,14;685,21;807,40;0,83;0,57;0,71;0,67
112,00;Study1;1283,50;1457,86;1387,57;1132,08;2202,93;2519,64;0,53;0,65;2,52;2,52;885,69;1109,14;948,90;1153,71;769,71;986,93;0,93;0,93;0,50;0,88
113,00;Study1;1216,24;1005,93;1239,79;1168,86;6021,50;5408,02;0,44;0,68;2,40;2,30;2037,79;1866,43;3243,93;6009,64;2621,64;3471,94;0,55;0,50;0,57;0,53
114,00;Study1;1592,79;1270,14;1236,64;1257,85;2985,71;3277,73;0,62;0,67;2,57;2,73;1511,05;1537,59;.;.;.;.;.;.;.;.
