"Subject","SameContext","Boundary"
302,2.44166666666667,2.33333333333333
303,2.89583333333333,3.11111111111111
304,2.44166666666667,2.38888888888889
305,2.65833333333333,2.71111111111111
306,2.625,2.58888888888889
307,2.65,2.76666666666667
308,2.66666666666667,2.58888888888889
309,2.54166666666667,2.73333333333333
310,2.39166666666667,2.36666666666667
312,2.525,2.4
313,2.175,2.73333333333333
314,2.2,2.31666666666667
315,2.3875,2.46666666666667
316,2.4375,2.2
317,2.6375,2.5
318,2.3,2.36666666666667
319,2.5625,2.48333333333333
320,2.775,2.75
321,2.1125,2.01666666666667
322,2.6875,2.51666666666667
323,2.5375,2.71666666666667
324,2.7,2.75
325,1.7375,1.56666666666667
326,2.2875,2.51666666666667
