"Block","PositionCategory","Condition","ObjectFar","ObjectNear","RecencyRESP","RecencyCorrRESP","RecencyAcc","RecencyRT","DurationRESP","DurationRT","BoundaryItem","Subject"
1,"AcrossSecond2","Boundary","AHEADSET.jpg","APHONEFA2.jpg","f","j",0,5731,3,4075,"A3bday5.jpg","305"
1,"WithinSecond1","SameContext","Aallterrain10.jpg","ATHISEND4.jpg","j","j",1,5247,2,1998,"Acactus58.jpg","305"
1,"AcrossThird1","Boundary","Apokerchips3.jpg","aardvark.jpg","j","f",0,2900,3,2046,"chinchilla.jpg","305"
1,"WithinFourth2","SameContext","ABLACKNEC.jpg","asparagus.jpg","f","j",0,2754,2,3305,"B_orange.jpg","305"
1,"WithinFirst2","SameContext","Aflowerpot9.jpg","ASLED7.jpg","f","j",0,3273,4,3318,"Abarn4.jpg","305"
1,"WithinThird1","SameContext","A3bday5.jpg","Atrafficsign2.jpg","j","f",0,3053,3,3474,"APHONEFA2.jpg","305"
1,"WithinFourth1","SameContext","chinchilla.jpg","ADOGFOOD.jpg","j","f",0,2780,1,2474,"B_orange.jpg","305"
1,"AcrossSecond1","Boundary","AFIGHTP16.jpg","catslglol.jpg","j","f",0,3239,4,3397,"A3bday5.jpg","305"
1,"AcrossFirst2","Boundary","AORGAN.jpg","Acactus58.jpg","j","f",0,4394,3,2055,"Aallterrain10.jpg","305"
1,"WithinSecond2","SameContext","ADINGHY.jpg","AWEIGHT11.jpg","f","j",0,3243,3,2072,"Acactus58.jpg","305"
1,"WithinThird2","SameContext","ABALLBEAR.jpg","Acoral7.jpg","f","j",0,3819,3,2285,"APHONEFA2.jpg","305"
1,"WithinFirst1","SameContext","Aornamentalt5.jpg","Acastle22.jpg","f","f",1,3560,2,1059,"Abarn4.jpg","305"
1,"AcrossThird2","Boundary","ALOVSEA10.jpg","B_orange.jpg","f","j",0,2650,3,900,"chinchilla.jpg","305"
1,"AcrossFirst1","Boundary","Aantiquejuke2.jpg","Acanoe19.jpg","j","f",0,2728,4,2568,"Aallterrain10.jpg","305"
2,"WithinFourth1","SameContext","acquarium.jpg","ball8.jpg","j","f",0,3101,2,2056,"ACONSTRU9.jpg","305"
2,"AcrossThird1","Boundary","ACANE2.jpg","APARKBENC.jpg","j","f",0,2588,3,1921,"acquarium.jpg","305"
2,"WithinFourth2","SameContext","AICEUBETR.jpg","B_makeupbag.jpg","j","f",0,2466,3,1555,"ACONSTRU9.jpg","305"
2,"WithinSecond2","SameContext","Acartofgroce3.jpg","cd2-a.jpg","j","j",1,3697,4,2079,"Ababybottle15.jpg","305"
2,"WithinSecond1","SameContext","AORIGIRL3.jpg","Acementfinish.jpg","f","j",0,2498,2,2482,"Ababybottle15.jpg","305"
2,"WithinThird2","SameContext","Abucketwithcl.jpg","cigarette03.jpg","f","j",0,1887,3,1789,"Aleaf75.jpg","305"
2,"WithinFirst1","SameContext","butternutsquash.jpg","AANBABYCA.jpg","f","j",0,1426,3,2456,"Atrailer5.jpg","305"
2,"AcrossSecond1","Boundary","Aashtray67.jpg","Agardeningshe.jpg","j","j",1,2198,3,2064,"ARASPBER2.jpg","305"
2,"WithinThird1","SameContext","ARASPBER2.jpg","ACAROUSE2.jpg","f","j",0,2253,2,2853,"Aleaf75.jpg","305"
2,"WithinFirst2","SameContext","Aavocado7.jpg","chicken.jpg","j","f",0,1853,3,2452,"Atrailer5.jpg","305"
2,"AcrossSecond2","Boundary","ALITTERB2.jpg","Aleaf75.jpg","f","f",1,3418,2,2642,"ARASPBER2.jpg","305"
2,"AcrossFirst2","Boundary","Adoorknocker2.jpg","Ababybottle15.jpg","j","j",1,2746,3,2073,"AORIGIRL3.jpg","305"
2,"AcrossThird2","Boundary","Aspoolofthre6.jpg","ACONSTRU9.jpg","f","f",1,2773,4,1923,"acquarium.jpg","305"
